Company,Brief Description,Detailed Description,Founded Year,HQ Address,Email ID,Contact Detail,website address,LinkedIn Page Link,Twitter Page Link,Total Number of Investments,Preferred Sectors,Average Cheque Size,Average Round Size,Lead or Co-Investor Preference,Most Recent Investment,Guidance for Founders,Evaluation Criteria,PNG Address of the logo,Guidance for Founders
"3ONE4 CAPITAL, BENGALURU",3one4 Capital is an early-stage venture capital firm that invests in technology companies across various sectors in India.,"3one4 Capital is a Bengaluru-based venture capital firm founded by Pranav Pai and Siddarth Pai. The firm has built a portfolio of over 100 companies across various early stages. 3one4 Capital has a deep focus on software-centric and product companies, with an emphasis on investing in companies bringing the next billion users online in India. They manage dedicated funds for early-stage, growth-stage, and opportunities investing. They have a strong institutional capital base with investors from India, Europe, and the United States.",2016,"50 St Marks Road, Office 1, 5 Floor, 1 Sobha, Bengaluru, Karnataka 560001, IN",hello@3one4capital.com ,NA,https://www.3one4capital.com,https://www.linkedin.com/company/3one4-capital/,https://twitter.com/3one4capital,120+,"Consumer Internet, SaaS, Fintech, and Enterprise & SMB digitization",$0.5 million to $5 million,"$1,000,000 - $5,000,000","Both lead and co-investor, with a strong preference for leading early-stage rounds","Mar 12, 2025 | Scimplify | India | Stage -Series B | Amount invested - $40M","Founders can reach out through the contact form on their website or via email. They prefer warm introductions through their network. They typically look for startups with strong founding teams, clear product-market fit, and scalable business models.",,,
3STATE VENTURES,3State Ventures is an early-stage venture capital firm focusing on technology startups in India with innovative solutions across multiple sectors.,"3State Ventures invests in early-stage technology startups that demonstrate potential for rapid growth and market disruption. The firm's name refers to the three states its portfolio companies aim to achieve: product-market fit, operational efficiency, and sustainable growth. 3State typically invests at the seed and pre-Series A stages, providing both capital and hands-on operational support. The firm's partners bring entrepreneurial experience and deep industry networks, which they leverage to help portfolio companies with customer acquisition, talent recruitment, and follow-on funding.",2019,"CoWrks, Ecoworld, Outer Ring Road, Bengaluru, Karnataka 560103, India",info@3state.ventures,-4841,NA,NA,https://twitter.com/3StateVentures,14+,"(Sector Agnostic) Enterprise SaaS, Deep tech, Fintech, Healthtech, Consumer internet","$300,000-1.5 million","$500,000-3 million",Predominantly leads seed rounds,"Zypp Electric (2024), an EV logistics platform","Founders should demonstrate clear product differentiation and initial market validation. Applications can be submitted through the website, but the firm prefers warm introductions through its network.",,,
3TO1 CAPITAL,3to1 Capital is an early-stage venture capital firm focusing on technology startups in India with a sector-agnostic approach.,"3to1 Capital invests in early-stage technology startups with innovative business models and strong founding teams. The firm was founded by successful entrepreneurs who have built and scaled companies, bringing operational expertise alongside capital. 3to1 takes a hands-on approach to investing, working closely with portfolio companies on strategy, recruitment, fundraising, and scaling operations. While sector-agnostic, they have developed particular expertise in fintech, consumer tech, and B2B SaaS. The firm's name reflects their investment philosophy of achieving a minimum 3:1 return on capital deployed.",2019,"21st Floor, DLF Cyber City, Phase 2, Gurugram, Haryana 122002, India",hello@3to1capital.com,-7745,https://www.3to1capital.com,https://www.linkedin.com/company/3to1capital/,https://twitter.com/3to1Capital,6,"SaaS, FinTech, Web 3.0, Emerging Tech",up to $200k,"$750,000 - $3 million",Both Lead and Co-Investor,"Jul 12, 2022 | BosonQ Psi | India | Stage -Seed | Amount invested - $525K","Founders can apply through the submission form on the website. 3to1 Capital looks for startups that have demonstrated initial traction and have a clear path to scale. They recommend including detailed metrics on user acquisition, retention, and unit economics in pitch materials.",,,
500 STARTUPS,"500 Startups (now 500 Global) is one of the world's most active venture capital firms, with a mission to uplift people and economies through entrepreneurship.","500 Global (formerly 500 Startups) is a venture capital firm with over $2.7 billion in assets under management. The firm has invested in more than 2,700 companies across 81 countries. In India, 500 Global operates through its dedicated fund focused on the Indian startup ecosystem. The firm invests in early-stage companies across various sectors, providing capital, mentorship, and access to its global network of founders, mentors, and partners.","2010 (Global), 2011 (India operations)","WeWork Galaxy, 43 Residency Road, Bangalore 560025, India (India office)",india@500.co,Submission form on website,https://500.co,https://www.linkedin.com/company/500-startups,https://twitter.com/500Global,200+,"(Sector Agnostic) FinTech, EdTech, HealthTech, Consumer Internet, SaaS, Digital Commerce, and emerging technologies",$100-250K,"$500,000 - $3,000,000","Both, with a preference for co-investing in seed rounds and leading in follow-on rounds",Participated in Bijnis' $30 million Series C funding round (December 2023),"Founders can apply through the ""Submit Your Startup"" form on the 500 Global website. The firm looks for startups with market traction, a strong founding team, and innovative solutions with global potential.",,,
535WEST CAPITAL,"535West Capital is a global venture capital firm with a dedicated focus on Indian startups, particularly in technology, healthcare, and consumer sectors.","535West Capital is a cross-border venture capital firm with offices in New York and Bangalore. Their India focus involves investing in startups solving India-specific challenges with global scalability potential. The firm was founded by NRIs with extensive experience in global technology companies and venture capital. 535West brings both capital and a global network of experts, potential customers, and follow-on investors to their portfolio companies. They particularly specialize in helping Indian startups expand to international markets, especially the US.",2017,"3rd Floor, 535 Residency, 80 Feet Road, Koramangala, Bengaluru, Karnataka 560034, India",india@535west.com,-12112,https://www.535west.com,https://www.linkedin.com/company/thirdbasecapital/,https://twitter.com/535westcapital,21 (India-focused investments),"Fintech, SaaS, Frontier Tech, Cybersecurity, AI, Consumer Tech",$1 million to $10 million,$2 million - $10 million,Both Lead and Co-Investor,CureSkin (January 2024) - $3.5 million,"Founders can apply through the ""Submit Your Startup"" form on their website. 535West prefers startups with a proven product-market fit in India and potential for global expansion. They recommend highlighting international expansion plans in pitch materials.",,,
57 STARS,"57 Stars is a global alternative investment firm with a dedicated focus on high-growth markets including India, specializing in private equity and venture capital investments.","57 Stars is an independent global alternative investment manager with over $4.5 billion in assets under management across multiple strategies. The firm has developed a significant focus on the Indian market, targeting investments in growth-stage companies across various sectors. Their investment approach combines local market expertise with global best practices, focusing on businesses with strong fundamentals and sustainable competitive advantages.",2005,HQ - USA,info@57stars.com,na,https://www.57stars.com,https://www.linkedin.com/company/57-stars,na,"65 (global), 14 (India focus)","Health & Care-related Technologies, Tech-Enablement
Consumer
Enterprise
Fintech & Financial
Services
Environmental
Sustainability",$10 million - $50 million,$30 million - $100 million,Typically lead investor in growth rounds,"Urban Company (Home services platform), December 2024, Amount: $25 million (Series F extension)",No formal application process on website. Founders are encouraged to seek introductions through their network or reach out via email with a comprehensive business plan.,,,
6TH MAN VENTURES,6th Man Ventures is a crypto-native venture capital firm with increasing focus on Indian blockchain and Web3 startups.,"6th Man Ventures (6MV) is an early-stage venture capital firm specializing in blockchain technology, Web3, and crypto investments. The firm has been expanding its presence in the Indian market, targeting promising projects in the decentralized finance, NFT, gaming, and blockchain infrastructure sectors. 6MV provides not just capital but also strategic guidance on tokenomics, community building, and go-to-market strategies specific to the Web3 ecosystem.",2021,HQ - USA,info@6thman.ventures,Contact form on website,https://www.6thman.ventures,https://www.linkedin.com/company/6th-man-ventures/,https://twitter.com/6thManVentures,52 (including 9 in India),"DeFi, NFTs, Web3 Gaming, Metaverse, DAO Tools, Blockchain Infrastructure",up to $5M,$1 million - $5 million,Primarily co-investor; occasionally leads seed rounds,"Participated in Polygon Ventures' investment in Morph (2024), amount undisclosed",6MV accepts pitch submissions through their website and actively participates in Web3 hackathons and conferences across India. They prefer projects with working prototypes and clearly defined token utility models.,,,
77 CAPITAL,"77 Capital is an early-stage venture capital firm investing in technology startups in India with a focus on fintech, enterprise software, and consumer internet.","77 Capital is a venture capital firm founded by entrepreneurs who have successfully built and exited multiple startups. The firm focuses on pre-seed and seed-stage investments in technology startups with disruptive business models. 77 Capital takes an entrepreneur-first approach to investing, providing founders with not just capital but also operational support, strategic guidance, and access to their extensive network. They have developed particular expertise in fintech, having backed several successful financial technology startups. The firm's investment strategy emphasizes backing strong founding teams building technology solutions for large market opportunities.",2020,"77 Koramangala Main Road, 7th Block, Koramangala, Bengaluru, Karnataka 560095, India",pitch@77capital.vc,-11889,https://www.77capital.vc,https://www.linkedin.com/company/77-capital/,https://twitter.com/77capitalvc,33,"Fintech, B2B software, SaaS and AI.","$250,000 - $4 million","$500,000 - $2.5 million",Primarily Lead Investor,"Jan 17, 2024 | Trinity Technologies | India | Stage -Series B | Amount invested - $12.3M","Founders can apply through the submission form on their website. 77 Capital has a streamlined investment process, typically making decisions within 3-4 weeks of initial pitch. They prefer startups with a working product and early customer validation.",,,
7SQUARE VENTURES,7Square Ventures is an early-stage venture capital firm with a focus on Indian technology startups across multiple sectors.,"7Square Ventures is a venture capital firm that invests in early-stage technology startups in India. The firm was founded by experienced entrepreneurs and investors who bring operational expertise and network access to portfolio companies. 7Square takes a sector-agnostic approach but has developed expertise in fintech, consumer internet, and enterprise technology. The firm provides not just capital but also strategic guidance, mentorship, and access to global networks to help portfolio companies scale effectively.",2019,HQ - mumbai,7squareventures@gmail.com,NA,NA,https://www.linkedin.com/company/7squareventures/?originalSubdomain=in,NA,9,"Consumer, Consumer Goods, Food and Agriculture, Food and Agriculture Tech and High Tech","$250,000 - $1.5 million","$500,000 - $3 million","Both, with preference for co-investment","Jul 19, 2024 | Bitscale | India | Stage -Seed | Amount invested - Undisclosed","7Square has an open application process through their website. They also source deals through their network of entrepreneurs, advisors, and industry partners. Founders are encouraged to submit a concise pitch deck highlighting the problem, solution, market opportunity, traction, and team background.",,,
888VC,888VC is a venture capital firm focusing on early-stage technology startups with innovative solutions across multiple sectors.,"888VC invests in seed and early-stage technology companies with disruptive potential. The firm has a particular interest in fintech, enterprise software, consumer technology, and marketplace startups. 888VC emphasizes a hands-on approach to portfolio management, providing strategic guidance, operational support, and access to their network to help founders scale their businesses efficiently.",2020,"C823, Parimala Sunridge Apartment, Siddhapura, Whitefield, Bangalore, Bengaluru, Bengaluru Urban, Karnataka, 560066",info@888vc.co,9.19E+11,https://www.888vc.co/,https://www.linkedin.com/company/888vc/,NA,19,"(Sector Agnostic) HealthTech
Fintech
AI
Deep-Tech
Metaverse
SaaS
Web3
Blockchain
HR tech
Clean tech
B2B Fin Tech
Green tech","$300,000 - $2 million",$1 million - $5 million,"Mix of lead and co-investments, often leads seed rounds","Participated in PharmEasy's Series E extension (2024), amount undisclosed","888VC accepts submissions through their website's application form. They recommend including a detailed pitch deck with clear articulation of the problem, solution, market opportunity, traction metrics, and team background.",,,
8I VENTURES,8i Ventures is an early-stage venture capital firm focused on fintech and consumer tech investments in India.,"8i Ventures is a venture capital firm that invests in early-stage fintech and consumer technology startups in India. Founded by Vikram Chachra, the firm typically invests at the seed and pre-Series A stages. They focus on backing startups that are building innovative financial services platforms, consumer tech products, and digital retail solutions. The firm takes a hands-on approach with portfolio companies, providing strategic guidance, operational support, and connections to their network of industry experts.",2019,"Crompton Greaves House, Mumbai, Maharashtra 400030, India","hello@8ivc.com
",NA,https://www.8ivc.com/,https://www.linkedin.com/company/8iventures/,https://twitter.com/8iVentures,30+ investments,"Fintech, Consumer Tech, Digital Retail, SaaS",$1.5-$2 million,$1M - $4M USD,Primarily co leads investment rounds,"Dec 30, 2024
Boba Bhai
India
Series A
$3.48M",Founders can reach out through their website's contact form with a brief pitch deck. They prefer startups that have demonstrated product-market fit and initial revenue traction.,,,
8VC,"8VC is a US-based venture capital firm with a growing focus on the Indian market, investing in technology startups across various stages with an emphasis on enterprise software and deep tech.","8VC is a leading venture capital firm that partners with entrepreneurs to build transformative technology companies. With a growing focus on the Indian market, the firm invests across stages from seed to growth, with particular emphasis on enterprise software, healthcare, logistics, and deep technology sectors. Their investment approach combines deep technical expertise with industry knowledge, focusing on entrepreneurs building companies with defensible technology and sustainable competitive advantages. 8VC provides not only capital but also access to a global network of industry experts, potential customers, and follow-on investors.","2015 (Global), 2018 (India focus)","WeWork Two Horizon Centre, DLF Phase 5, Gurugram, Haryana 122002, India (India office)",india@8vc.com,-12596,https://www.8vc.com,https://www.linkedin.com/company/8vc,https://twitter.com/8VC,"300+ (global), 22 (India focus)","AI
Smart Enterprise
Consumer
Financial Services
Government & Defense
IT Infrastructure
Healthcare
Life Sciences
Logistics",$100k million - $50 million,$10 million - $50 million,Lead investor preference in Series A and B rounds,"DataFlow (Data infrastructure platform), January 2024, Amount: $15 million",No formal application process on website. Founders are encouraged to seek introductions through their network or reach out via email with a comprehensive business plan highlighting technical differentiation and market opportunity.,,,
8X VENTURES,8X Ventures is a venture capital firm focusing on early-stage technology startups with high growth potential across multiple sectors.,"8X Ventures provides seed and early-stage funding to technology-driven startups with innovative solutions. The firm has a particular interest in fintech, enterprise software, consumer technology, and digital health startups. 8X takes a collaborative approach to portfolio management, working closely with founders to refine business models, accelerate growth, and navigate challenges in the early stages of company building.",2018,"India’s First Private DeepTech Hub
C 44 2nd floor, C Block, Sector 2, Noida, Uttar Pradesh 201301","To share your pitch deck, write to  at pitch@8xventures.co",NA,"https://www.8xventures.co/
",https://www.linkedin.com/company/80893520/admin/feed/posts/,"https://twitter.com/8xVentures
",26,"Future of Computing, BioTech, CleanTech, Industry 4.0, Enterprise B2B SaaS","$500,000 - $3 million",$1 million - $7 million,"Mix of lead and co-investments, frequently leads seed rounds","Led seed round in CoinSwitch Kuber (2024), $2.5 million","8X welcomes submissions through their website's application form. They recommend including a comprehensive pitch deck with clear articulation of the problem, solution, market opportunity, traction metrics, and team expertise.",,,
A91 PARTNERS,A91 Partners is a private equity and venture capital firm focused on mid-market growth investments in India.,"A91 Partners is an investment firm founded by former Sequoia Capital India executives. The firm focuses on making growth-stage investments in mid-market companies across consumer, financial services, healthcare, and technology sectors in India. A91 Partners typically invests in companies that have established product-market fit and are looking for capital to scale operations. The firm is known for its patient capital approach and deep operational expertise that helps portfolio companies achieve sustainable growth.",2018,"2nd Floor, Godrej BKC, Plot C-68, G Block, Bandra Kurla Complex, Mumbai - 400051, Maharashtra, India",info@a91partners.com,-62366031,https://www.a91partners.com,https://www.linkedin.com/company/a91partners/,https://twitter.com/A91Partners,34,"consumer
financial Services
healthcare
Software / Services",$10 million to $50 million,$15 million - $50 million,Primarily lead investor,"Feb 17, 2025 | The House Of Rare | India | Stage -Series A | Amount invested - $5.76M",Founders should demonstrate strong unit economics and clear path to profitability. A91 prefers companies with established revenue models and proven customer traction.,,,
AAVISHKAAR CAPITAL,Aavishkaar Capital is an impact investment firm focused on enterprises serving the low-income segment in India and other emerging markets.,"Aavishkaar Capital is one of India's leading impact investment firms that invests in enterprises working with the underserved populations in India and other emerging markets in Asia and Africa. Founded by Vineet Rai, Aavishkaar has pioneered the impact investing movement in India by investing in early-stage enterprises that focus on rural and semi-urban markets. The firm manages multiple funds across different stages, sectors, and geographies, with a focus on financial inclusion, agriculture, healthcare, education, and essential services. Aavishkaar takes an active investment approach, providing strategic guidance, operational support, and access to networks beyond just capital.",2001,"FS 05 & FS 06, Collative, Global Foyer WhiteHouse, NBCC Plaza Pushp Vihar, Saket, New Delhi","funds@aavishkaar.in
",NA,https://www.aavishkaarcapital.in,https://www.linkedin.com/company/aavishkaar-group/,https://twitter.com/AavishkaarVC,70+,"Sustainable Agriculture, Financial Inclusion and Essential Services (Impact Focus)",US$5 Million –US$25 Million,$2-10 million,Primarily leads investment rounds,"Oct 04, 2024
Zouk
India
Series B
$10.1M",Founders can submit proposals through the website. Aavishkaar looks for enterprises that deliver commercial returns while creating positive social impact for underserved communities.,,,
ABC WORLD ASIA,"ABC World Asia is an impact investing private equity fund with a growing focus on India, investing in companies addressing sustainability challenges across Asia.","ABC World Asia is dedicated to impact investing with a focus on companies that generate positive and measurable environmental, social, and economic outcomes. In India, ABC World Asia targets companies across sectors including climate solutions, financial inclusion, healthcare, education, and sustainable food systems. The firm combines rigorous impact assessment with traditional financial analysis to identify businesses that can deliver both attractive returns and meaningful social or environmental benefits.",2019,HQ - Singapore,info@abcimpact.com.sg,+65 6909 3316,https://abcimpact.com.sg/,https://www.linkedin.com/company/abcimpact/,NA,18 (including 5 in India),financial and digital inclusion; better health and education; climate and water solutions; sustainable food and agriculture; and smart and liveable cities,$5 million to $25 million,$20 million - $100 million,"Both lead and co-investor, frequently leads larger growth rounds","Invested in ReNew Power's green hydrogen initiative (2024), amount undisclosed",ABC World Asia prefers introductions through their network but also accepts submissions through their website. They look for companies with proven business models demonstrating both financial sustainability and measurable impact metrics.,,,
ABLER NORDIC,"Abler Nordic is a venture capital firm from the Nordic region with a growing focus on Indian startups in sustainability, healthcare, and technology sectors.","Abler Nordic invests in early and growth-stage companies with innovative solutions addressing global challenges. In India, Abler has been increasing its presence, targeting startups in healthcare innovation, clean technology, and digital solutions with positive social impact. The firm brings Nordic expertise in sustainability and technology to the Indian ecosystem, fostering cross-border collaboration and knowledge transfer.",2017,"c/o Spring House Coworking Private Ltd
LG/UG 006, Grand Mall, M.G Road
Gurugram, Haryana 122002
India","info@ablernordic.com

Denmark
Physical address:

c/o IFU
Fredericiagade 27
1310 Copenhagen K
Denmark
Ma",NA,https://www.ablernordic.com,https://www.linkedin.com/company/nordic-microfinance-initiative,https://twitter.com/Abler_Nordic,32 (including 7 in India),Financial Inclusion Focus,USD 5 to 10 million,$5 million - $20 million,Primarily co-investor in India; occasionally leads rounds with Nordic connections,"Participated in Ziptrax Cleantech's Series A round (2024), amount undisclosed",Abler Nordic accepts submissions through their website and actively participates in sustainability-focused startup events across India. They prefer companies with clear impact metrics alongside traditional business KPIs.,,,
AC VENTURES,AC Ventures is a venture capital firm with a dedicated focus on early-stage technology investments in India.,"AC Ventures' India focus revolves around backing innovative technology startups that are solving significant problems in the Indian market. The firm invests across sectors including FinTech, HealthTech, EdTech, and Enterprise SaaS. AC Ventures takes an entrepreneur-first approach, providing hands-on support to portfolio companies through its extensive network of industry experts and operators. The firm believes in building long-term partnerships with founders and works closely with them to achieve their vision.","2017 (Global), India focus established in 2020",HQ - Jakarta,info@acv.vc,NA,https://www.acventures.com,https://www.linkedin.com/company/ac-ventures,https://x.com/acventures_id,17 (India specific),"Marketplaces, SAAS, PAAS, fintech, proptech and cyber security",$2M-$10M,$3M-$10M,Both (typically leads Seed and pre-Series A rounds),"Invested in KreditBee, a digital lending platform (January 2024)","Founders can apply for funding through the firm's website by submitting a detailed pitch deck. AC Ventures encourages early outreach, even before a formal fundraising process begins, to build relationships.",,,
